adcode,name,level,parent,suffix,lng,lat,py,pyf,p1
620400,白银,city,620000.0,市,104.138872,36.545123,baiyin,by,b
621200,陇南,city,620000.0,市,104.960296,33.370174,longnan,ln,l
620900,酒泉,city,620000.0,市,98.49432,39.733416,jiuquan,jq,j
620100,兰州,city,620000.0,市,103.834228,36.060798,lanzhou,lz,l
620800,平凉,city,620000.0,市,106.664913,35.542417,pingliang,pl,p
620300,金昌,city,620000.0,市,102.187972,38.521468,jinchang,jc,j
620700,张掖,city,620000.0,市,100.449858,38.924766,zhangye,zy,z
621100,定西,city,620000.0,市,104.592342,35.607947,dingxi,dx,d
620500,天水,city,620000.0,市,105.724828,34.581514,tianshui,ts,t
621000,庆阳,city,620000.0,市,107.643433,35.709459,qingyang,qy,q
620600,武威,city,620000.0,市,102.637821,37.92898,wuwei,ww,w
510800,广元,city,510000.0,市,105.844004,32.435774,guangyuan,gy,g
511300,南充,city,510000.0,市,106.110565,30.837235,nanchong,nc,n
511900,巴中,city,510000.0,市,106.747548,31.867853,bazhong,bz,b
510600,德阳,city,510000.0,市,104.397795,31.127449,deyang,dy,d
511100,乐山,city,510000.0,市,103.766085,29.552275,leshan,ls,l
510100,成都,city,510000.0,市,104.066301,30.572961,chengdu,cd,c
511400,眉山,city,510000.0,市,103.848417,30.077113,meishan,ms,m
511700,达州,city,510000.0,市,107.46778,31.209278,dazhou,dz,d
512000,资阳,city,510000.0,市,104.627265,30.129236,ziyang,zy,z
511600,广安,city,510000.0,市,106.632647,30.456354,guangan,ga,g
511000,内江,city,510000.0,市,105.057992,29.58021,neijiang,nj,n
510700,绵阳,city,510000.0,市,104.679127,31.467673,mianyang,my,m
510900,遂宁,city,510000.0,市,105.592602,30.53268,suining,sn,s
511500,宜宾,city,510000.0,市,104.642826,28.752354,yibin,yb,y
510300,自贡,city,510000.0,市,104.779307,29.33924,zigong,zg,z
510400,攀枝花,city,510000.0,市,101.71846,26.582417,panzhihua,pzh,p
510500,泸州,city,510000.0,市,105.441866,28.87098,luzhou,lz,l
511800,雅安,city,510000.0,市,103.041538,30.009998,yaan,ya,y
110100,北京,city,110000.0,市,116.405285,39.904989,beijing,bj,b
120100,天津,city,120000.0,市,117.190182,39.125596,tianjin,tj,t
361000,抚州,city,360000.0,市,116.358054,27.948979,fuzhou,fz,f
360700,赣州,city,360000.0,市,114.933494,25.831139,ganzhou,gz,g
360300,萍乡,city,360000.0,市,113.887147,27.658721,pingxiang,px,p
360200,景德镇,city,360000.0,市,117.184892,29.2744,jingdezhen,jdz,j
360900,宜春,city,360000.0,市,114.416826,27.816245,yichun,yc,y
360500,新余,city,360000.0,市,114.916665,27.818553,xinyu,xy,x
360800,吉安,city,360000.0,市,114.96681,27.091243,jian,ja,j
360600,鹰潭,city,360000.0,市,117.039532,28.272092,yingtan,yt,y
361100,上饶,city,360000.0,市,117.943064,28.45513,shangrao,sr,s
360400,九江,city,360000.0,市,115.95356,29.66116,jiujiang,jj,j
